title,group,pages,reading_level,downloaded_on,original_url,original_fields,new_url,standardized_fields,jurisdiction
Respondent's Declaration of Military Service ,Divorce,2.0,15.0,2021-11-11,https://www.utcourts.gov/howto/divorce/docs/OCAP_Respondent's_Declaration_of_Military_Service.pdf,"['Name', 'Address', 'City State Zip', 'Phone', 'Email', 'IN THE', 'OF', 'court address', 'Petitioner', 'Case No', 'Respondent', 'Commissioner', 'Judge', 'I', 'Date', 'Sign here', 'Printed Name', 'the other party at other partys address', '1', '2', '3', '4', 'Respondents Signature']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfba7f1eb6e865978916b57e517383361a90f9eb66c61f19c943d7829b.pdf,"['*users1_name__1', '*users1_address_line_one', '*users1_address_line_two', '*users1_phone_number', 'email', 'in_the', 'of', 'court_address', 'petitioner', '*docket_number', 'respondent', 'commissioner', 'judge', 'i', '*signature_date', '*users1_signature', '*users1_name__2', 'party_partys_address', 'unknown__1', 'unknown__2', 'unknown__3', 'unknown__4', 'respondents_signature']",UT
"State of Utah - Department of Health Certificate of Divorce, Dissolution of Marriage, or Annulment ",Divorce,,,2021-11-11,https://www.utcourts.gov/howto/divorce/docs/Divorce_Certificate.pdf,,https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfe6124de37c9e4ef524d46b368c582ac2adf999778566d68b1a3dd820.pdf,,UT
Trial issues - domestic cases ,Divorce,4.0,16.0,2021-11-11,https://www.utcourts.gov/howto/divorce/docs/1261GE_Trial_Issues_Domestic_Cases.pdf,"['Petitioner', 'Case Number', 'Respondent', 'Judge', 'Commissioner domestic cases', 'Issue', 'My Position', 'Children', 'Childs full nameRow1', 'BirthdateRow1', 'Childs full nameRow2', 'BirthdateRow2', 'Childs full nameRow3', 'BirthdateRow3', 'Childs full nameRow4', 'BirthdateRow4', 'Childs full nameRow5', 'BirthdateRow5', 'Child Custody', 'Legal custody Physical custody', 'Trial Issues  Domestic Cases', 'Issue_2', 'My Position_2', 'Child Support', 'Child support amount', 'Petitioners gross monthly income', 'Respondents gross monthly income', 'Parenttime', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoChild Care', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoHealth Insurance', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoLife Insurance', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoTaxes', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoRestraining Orders', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoOther', 'Parenting plan Required if requesting joint legal or joint physical custody    Yes already filed or attached    NoOther_2', 'Trial Issues  Domestic Cases_2', 'Issue_3', 'My Position_3', 'Marriage', 'Date of marriage Date of separationReal Property', 'Date of marriage Date of separationVehicles', 'Date of marriage Date of separationPersonal Property', 'Date of marriage Date of separationFinancial Accounts', 'Date of marriage Date of separationDebts', 'Date of marriage Date of separationRetirement Money', 'Date of marriage Date of separationAlimony', 'Date of marriage Date of separationName Change', 'Date of marriage Date of separationOther', 'Date of marriage Date of separationOther_2', 'Date of marriage Date of separationOther_3', '1261GEJ Approved July 18 2019', 'Trial Issues  Domestic Cases_3', 'Page 3 of 4', 'Date', 'Signature', 'Printed Name', '1261GEJ Approved July 18 2019_2', 'Trial Issues  Domestic Cases_4', 'Page 4 of 4']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfb8d3e37c5bdad3eff35fa90acd7d85f4132085f331f7e444815c94ac.pdf,"['petitioner', '*docket_number', 'respondent', 'judge', 'commissioner_domestic_cases', 'issue__1', 'position__1', 'children', 'childs_full_name_row__1', 'birthdate_row__1', 'childs_full_name_row__2', 'birthdate_row__2', 'childs_full_name_row__3', 'birthdate_row__3', 'childs_full_name_row__4', 'birthdate_row__4', 'childs_full_name_row__5', 'birthdate_row__5', 'child_custody', 'legal_custody_physical', 'trial_issues_domestic_cases__1', 'issue__2', 'position__2', 'child_support', 'child_support_amount', 'gross_monthly_income__1', 'gross_monthly_income__2', 'parenttime', 'required_legal_child', 'plan_required_legal', 'required_legal_already__1', 'required_legal_already__2', 'required_requesting_legal', 'required_legal_already__3', 'required_legal_already__4', 'trial_issues_domestic_cases__2', 'issue__3', 'position__3', 'marriage', 'marriage_real_property', 'date_marriage_separation__1', 'marriage_separation_personal', 'marriage_financial_accounts', 'date_marriage_separation__2', 'marriage_retirement_money', 'marriage_separation_alimony', 'date_marriage_change', 'date_marriage_separation__3', 'date_marriage_separation__4', 'date_marriage_separation__5', 'gej_approved_july__1', 'trial_issues_domestic_cases__3', 'page__1', '*signature_date', '*users1_signature', '*users1_name', 'gej_approved_july__2', 'trial_issues_domestic_cases__4', 'page__2']",UT
Application to Excuse Mandatory Divorce Mediation ,Divorce Mediation Program Forms and Statutes,1.0,12.0,2021-11-11,https://www.utcourts.gov/mediation/divmed/forms/APPLICATION_TO_BE_EXCUSED.pdf,"['Case', 'JudgeCommissioner', 'City Where Petition was filed', 'Date Petition was Answered', 'Full Name', 'Full Name_2', 'Street Address', 'Street Address_2', 'City State Zip', 'City State Zip_2', 'Date of Birth', 'Date of Birth_2', 'Email Address', 'Email Address_2', 'Phone Numbers', 'Phone Numbers_2', 'Attorneys Name', 'Attorneys Name_2', 'Attorneys Address', 'Attorneys Address_2', 'Attorneys City State Zip', 'Attorneys City State Zip_2', 'Attorneys Phone', 'Attorneys Phone_2', 'Attorneys Email', 'Attorneys Email_2', 'NO', 'case', 'NO_2', 'Is there a history or allegation of domestic violence', 'YES', 'NO_3', 'contacted', 'YES_2', 'NO_4', 'Is there a history of mental incapacitation regarding either party If yes who', 'What type', 'Is it currently being treated', 'Applicants Signature', 'Date']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf27256282e3cb15ed0e7d9ceeff6f2a12aa0cbf401e93bd76ea36d730.pdf,"['*docket_number__1', 'judge_commissioner', 'city_petition_filed', 'date_petition_answered', '*users1_name', 'full_name', '*users1_address_line_one', 'street_address', '*users1_address_line_two', 'city_state_zip', '*users1_birthdate', 'date_birth', 'email_address__1', 'email_address__2', 'phone_numbers__1', 'phone_numbers__2', 'attorneys_name__1', 'attorneys_name__2', 'attorneys_address__1', 'attorneys_address__2', 'attorneys_city_state_zip__1', 'attorneys_city_state_zip__2', 'attorneys_phone__1', 'attorneys_phone__2', 'attorneys_email__1', 'attorneys_email__2', 'no', '*docket_number__2', 'no_2', 'allegation_domestic_violence', 'yes__1', 'no_3', 'contacted', 'yes__2', 'no_4', 'mental_regarding_either', 'type', 'currently_treated', 'applicants_signature', '*signature_date']",UT
Divorce Mediation Income Survey ,Divorce Mediation Program Forms and Statutes,2.0,13.0,2021-11-11,https://www.utcourts.gov/mediation/divmed/forms/LOW_INCOME_SURVEY_WITH_DOB.pdf,"['Todays Date', 'Case', 'JudgeCommissioner', 'City Where Petition was filed', 'Date Petition was Answered', 'Full Name', 'Full Name_2', 'Street Address', 'Street Address_2', 'City State Zip', 'City State Zip_2', 'Date of Birth', 'Date of Birth_2', 'Email Address', 'Email Address_2', 'Phone Numbers', 'Phone Numbers_2', 'Attorneys Name', 'Attorneys Name_2', 'Attorneys Address', 'Attorneys Address_2', 'Attorneys City State Zip', 'Attorneys City State Zip_2', 'Attorneys Phone', 'Attorneys Phone_2', 'Attorneys Email', 'Attorneys Email_2', 'NO', 'Is there a current Protective Order issued between the parties If yes list case', 'NO_2', 'Is there a history or allegation of domestic violence', 'YES', 'NO_3', 'Are there any special needs to consider beforeduring the mediation If yes please describe', 'SECTION 1 HOUSEHOLD INFORMATION', '1', 'SELF', '2', 'SELF2', '3', 'SELF3', '4', 'SELF4', '5', 'SELF5', '6', 'SELF6', '7', 'SELF7', '8', 'SELF8', 'Do you currently pay Child Support for any children YES', 'NO_4', 'If Yes How Much', 'SECTION 2 FINANCIAL INFORMATION', 'Employer', 'Family Employment Program', 'Address', 'SSI', 'Phone', 'Food Stamps', 'Supervisor', 'WIC', 'Hourly Wage', 'of hours per week', 'General Assistance', 'Refugee Cash Assistance', 'Alimony', 'Social Security Benefits', 'Child Support', 'Unemployment Compensation', 'Disability Benefits', 'Workers Compensation', 'Other please specify', 'SECTION 3 STATEMENT OF VERIFICATION', 'Signature', 'Date', 'SECTION 4 WHERE TO SEND THE SURVEY']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfdaa572cf93856c74ba041d687618859f549e4a17bbe6b96e8f2acca3.pdf,"['todays_date', '*docket_number', 'judge_commissioner', 'city_petition_filed', 'date_petition_answered', '*users1_name', 'full_name', '*users1_address_line_one__1', 'street_address', '*users1_address_line_two', 'city_state_zip', '*users1_birthdate', 'date_birth', 'email_address__1', 'email_address__2', 'phone_numbers__1', 'phone_numbers__2', 'attorneys_name__1', 'attorneys_name__2', 'attorneys_address__1', 'attorneys_address__2', 'attorneys_city_state_zip__1', 'attorneys_city_state_zip__2', 'attorneys_phone__1', 'attorneys_phone__2', 'attorneys_email__1', 'attorneys_email__2', 'no', 'current_order_list_case', 'no_2', 'allegation_domestic_violence', 'yes', 'no_3', 'needs_consider_describe', 'section_household_information', 'unknown__1', 'self__1', 'unknown__2', 'self__2', 'unknown__3', 'self__3', 'unknown__4', 'self__4', 'unknown__5', 'self__5', 'unknown__6', 'self__6', 'unknown__7', 'self__7', 'unknown__8', 'self__8', 'pay_child_support_children', 'no_4', 'yes_much', 'section_financial_information', 'employer', 'family_employment_program', '*users1_address_line_one__2', 'ssi', '*users1_phone_number', 'food_stamps', 'supervisor', 'wic', 'hourly_wage', 'hours_per_week', 'general_assistance', 'refugee_cash_assistance', 'alimony', 'social_security_benefits', 'child_support', 'unemployment_compensation', 'disability_benefits', 'workers_compensation', 'please_specify', 'section_statement_verification', '*users1_signature', '*signature_date', 'section_send_survey']",UT
Domestic relations injunction  ,Domestic Relations Injunction,4.0,11.0,2021-11-11,https://www.utcourts.gov/howto/family/domestic_relation_injunction/docs/1501FA_Domestic_Relations_Injunction.pdf,"['Judicial District', 'County', 'Court Address', 'Petitioner', 'Case Number', 'Respondent', 'Judge', 'Commissioner', '1501FAJ Approved April 22 2019', 'Domestic Relations Injunction', 'Page 1 of 4', '1501FAJ Approved April 22 2019_2', 'Domestic Relations Injunction_2', 'Page 2 of 4', '1501FAJ Approved April 22 2019_3', 'Domestic Relations Injunction_3', 'Page 3 of 4', 'Persons NameRow1', 'Service Address  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there', 'Service Date  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there', 'Persons NameRow2', 'Service Address  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there_2', 'Service Date  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there_2', 'Persons NameRow3', 'Service Address  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there_3', 'Service Date  Mail   Hand Delivery   Efiled   Email   Left at business With person in charge or in receptacle for deliveries   Left at home With person of suitable age and discretion residing there_3', 'Date', 'Signature', 'Printed Name', '1501FAJ Approved April 22 2019_4', 'Domestic Relations Injunction_4', 'Page 4 of 4']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf3762e120bcc655f2a78a33c75b783f0cea1585ea2a68387a621c4348.pdf,"['judicial_district', 'county', 'court_address', 'petitioner', '*docket_number', 'respondent', 'judge', 'commissioner', 'faj_approved_april__1', 'domestic_relations_injunction__1', 'page__1', 'faj_approved_april__2', 'domestic_relations_injunction__2', 'page__2', 'faj_approved_april__3', 'domestic_relations_injunction__3', 'page__3', 'persons_name_row__1', 'service_mail_person__1', 'service_person_charge__1', 'persons_name_row__2', 'service_mail_person__2', 'service_person_charge__2', 'persons_name_row__3', 'service_mail_person__3', 'service_person_charge__3', '*signature_date', '*users1_signature', '*users1_name', 'faj_approved_april__4', 'domestic_relations_injunction__4', 'page__4']",UT
Declaration of Income and Expenses ,Emancipation,4.0,24.0,2021-11-11,https://www.utcourts.gov/resources/forms/emancipation/docs/02_Declaration_of_Income_and_Expenses.pdf,"['Filers Name', 'Filers Address', 'City State Zip', 'Phone', 'Email', 'Minors Name', 'Case Number', 'Minors Date of Birth', 'Judge', 'I was born on', 'undefined', 'Monthly pay before deductions', 'undefined_2', 'Monthly pay after deductions', 'May 6 2006  Revised August 9 2018', 'Declaration of Income and Expenses', 'Page 1 of 4', '  I have income from sources other than employment include such sources as rental income money or other support', 'Source of Income', 'undefined_3', 'Monthly income nonwage', 'Source of Income_2', 'undefined_4', 'undefined_5', 'undefined_6', 'undefined_7', 'undefined_8', 'Name', 'undefined_9', 'undefined_10', 'fill_20', 'undefined_11', 'Balance Owed', 'Value', 'Home', 'undefined_12', 'fill_24', 'undefined_13', 'fill_25', 'Land and other real property', 'undefined_14', 'fill_27', 'undefined_15', 'fill_28', 'May 6 2006  Revised August 9 2018_2', 'Cars trucks or other vehicles', 'undefined_16', 'fill_32', 'undefined_17', 'fill_33', 'Other personal property', 'undefined_18', 'fill_35', 'undefined_19', 'fill_36', 'Business interests', 'undefined_20', 'fill_38', 'undefined_21', 'fill_39', 'Amount', 'To whom owedRow1', 'undefined_22', 'To whom owedRow2', 'undefined_23', 'To whom owedRow3', 'undefined_24', 'To whom owedRow4', 'undefined_25', 'To whom owedRow5', 'undefined_26', 'Amount_2', 'Amount_3', 'Food', 'undefined_27', 'Water', 'undefined_28', 'Clothing', 'undefined_29', 'Telephone', 'undefined_30', 'Housing', 'undefined_31', 'fill_47', 'undefined_32', 'fill_48', 'undefined_33', 'undefined_34', 'Electricity', 'undefined_35', 'Child support', 'undefined_36', 'Gas', 'undefined_37', 'undefined_38', 'May 6 2006  Revised August 9 2018_3', 'Other list', 'undefined_39', 'fill_9', 'Other list_2', 'undefined_40', 'fill_11', 'Signed at', 'Date', 'Signature', 'Printed Name', 'May 6 2006  Revised August 9 2018_4', 'Declaration of Income and Expenses_2', 'Page 4 of 4']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf5eb4e78fcec96a9c50593604988f42c12eaecb83179b0d041e2724e5.pdf,"['filers_name', 'filers_address', '*users1_address_line_two', '*users1_phone_number__1', 'email', 'minors_name', '*docket_number', 'minors_date_birth', 'judge', 'born', 'undefined__1', 'monthly_pay_deductions__1', 'undefined__2', 'monthly_pay_deductions__2', 'may_revised_august__1', 'declaration_income_expenses__1', 'page__1', 'income_employment_money', 'source_income__1', 'undefined__3', 'monthly_income_nonwage', 'source_income__2', 'undefined__4', 'undefined__5', 'undefined__6', 'undefined__7', 'undefined__8', '*users1_name__1', 'undefined__9', 'undefined__10', 'fill__1', 'undefined__11', 'balance_owed', 'value', 'home', 'undefined__12', 'fill__2', 'undefined__13', 'fill__3', 'land_real_property', 'undefined__14', 'fill__4', 'undefined__15', 'fill__5', 'may_revised_august__2', 'cars_trucks_vehicles', 'undefined__16', 'fill__6', 'undefined__17', 'fill__7', 'personal_property', 'undefined__18', 'fill__8', 'undefined__19', 'fill__9', 'business_interests', 'undefined__20', 'fill__10', 'undefined__21', 'fill__11', 'amount__1', 'owed_row__1', 'undefined__22', 'owed_row__2', 'undefined__23', 'owed_row__3', 'undefined__24', 'owed_row__4', 'undefined__25', 'owed_row__5', 'undefined__26', 'amount__2', 'amount__3', 'food', 'undefined__27', 'water', 'undefined__28', 'clothing', 'undefined__29', '*users1_phone_number__2', 'undefined__30', 'housing', 'undefined__31', 'fill__12', 'undefined__32', 'fill__13', 'undefined__33', 'undefined__34', 'electricity', 'undefined__35', 'child_support', 'undefined__36', 'gas', 'undefined__37', 'undefined__38', 'may_revised_august__3', 'list__1', 'undefined__39', 'fill__14', 'list__2', 'undefined__40', 'fill__15', 'signed', '*signature_date', '*users1_signature', '*users1_name__2', 'may_revised_august__4', 'declaration_income_expenses__2', 'page__2']",UT
Notice of Petition for Emancipation of a Minor ,Emancipation,2.0,21.0,2021-11-11,https://www.utcourts.gov/resources/forms/emancipation/docs/03_Notice_of_Petition_for_Declaration_of_Emancipation.pdf,"['undefined', 'Filers Name', 'Filers Address', 'City State Zip', 'Phone', 'State of Utah in the interest of', 'of a Minor', 'Minors Name', 'Case Number', 'A Petition for Emancipation of a Minor has been filed by', 'A hearing on this Petition will be held on', 'hearing will be held at 1', 'hearing will be held at 2', 'hearing will be held at 3', 'Petitioners Father 1', 'Petitioners Father 2', 'Petitioners Father 3', 'Petitioners Mother 1', 'Petitioners Mother 2', 'Petitioners Mother 3', 'Petitioners Guardian 1', 'Petitioners Guardian 2', 'Petitioners Guardian 3', 'Child and Family Support Division of the Office of the Attorney General 1', 'Child and Family Support Division of the Office of the Attorney General 2', 'Child and Family Support Division of the Office of the Attorney General 3', 'Other Interested Individual 1', 'Other Interested Individual 2', 'Other Interested Individual 3', 'Date', 'Sign here', 'Clerk of Court', 'Notice of Petition for Emancipation of a Minor', 'May 6 2006', 'Page 2 of 2']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfb2557e6ebe1331b931f64388952c11774ed912677ce1a69593c89175.pdf,"['undefined', 'filers_name', 'filers_address', '*users1_address_line_two', '*users1_phone_number', 'state_utah_interest', 'minor', 'minors_name', '*docket_number', 'petition_emancipation_filed', 'hearing_petition_held', 'hearing_held__1', 'hearing_held__2', 'hearing_held__3', 'petitioners_father__1', 'petitioners_father__2', 'petitioners_father__3', 'petitioners_mother__1', 'petitioners_mother__2', 'petitioners_mother__3', 'petitioners_guardian__1', 'petitioners_guardian__2', 'petitioners_guardian__3', 'family_office_general__1', 'family_office_general__2', 'family_office_general__3', 'interested_individual__1', 'interested_individual__2', 'interested_individual__3', '*signature_date', '*users1_signature', 'clerk_court', 'notice_petition_minor', 'may', 'page']",UT
Order Appointing Guardian ad Litem ,Emancipation,1.0,17.0,2021-11-11,https://www.utcourts.gov/resources/forms/emancipation/docs/04_Order_Appointing_GAL.pdf,"['Filers Name', 'Filers Address', 'City State Zip', 'Phone', 'Email', 'Minors Name', 'Case Number', 'Minors Date of Birth', 'Judge', 'Date', 'Sign here', 'Juvenile Court Judge', 'Order Appointing Guardian ad Litem']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf578fab3868f8640b73b54edf52e23278074675f7561b9b92e288201d.pdf,"['filers_name', 'filers_address', '*users1_address_line_two', '*users1_phone_number', 'email', 'minors_name', '*docket_number', 'minors_date_birth', 'judge', '*signature_date', '*users1_signature', 'juvenile_court_judge', 'order_appointing_guardian_litem']",UT
Order on Petition for Declaration of Emancipation of a Minor ,Emancipation,2.0,18.0,2021-11-11,https://www.utcourts.gov/resources/forms/emancipation/docs/05_Order_on_Petition_for_Declaration_of_Emancipation.pdf,"['Filers Name', 'Filers Address', 'City State Zip', 'Phone', 'Email', 'Minors Name', 'Case Number', 'Minors Date of Birth', 'Judge', 'date', 'Other individual', 'Order on Petition for Declaration of Emancipation', 'Date', 'Sign here', 'Juvenile Court Judge', 'Order on Petition for Declaration of Emancipation_2']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdfa77c1a34abc5338459447e6ddecc7f55e78ebb8053670e3787e0a794.pdf,"['filers_name', 'filers_address', '*users1_address_line_two', '*users1_phone_number', 'email', 'minors_name', '*docket_number', 'minors_date_birth', 'judge', '*signature_date__1', 'individual', 'petition_declaration_emancipation__1', '*signature_date__2', '*users1_signature', 'juvenile_court_judge', 'petition_declaration_emancipation__2']",UT
Petition for Declaration of Emancipation of a Minor ,Emancipation,3.0,5.0,2021-11-11,https://www.utcourts.gov/resources/forms/emancipation/docs/01_Petition_for_Declaration_of_Emancipation.pdf,"['Filers Name', 'Filers Address', 'City State Zip', 'Phone', 'Email', 'Minors Name', 'Case Number', 'Minors Date of Birth', 'Judge', 'undefined', 'undefined_2', 'undefined_3', 'undefined_4', 'apart from them since', 'May 6 2006  Revised August 9 2018', 'guardian or custodian 1', 'guardian or custodian 2', 'guardian or custodian 3', 'guardian or custodian 4', 'guardian or custodian 5', 'guardian or custodian 6', 'undefined_5', 'undefined_6', 'undefined_7', 'undefined_8', 'undefined_9', 'undefined_10', 'undefined_11', 'undefined_12', 'undefined_13', 'case number if known', 'name', 'undefined_14', 'May 6 2006  Revised August 9 2018_2', 'Signed at', 'Date', 'Signature', 'Printed Name', 'May 6 2006  Revised August 9 2018_3', 'Petition for Declaration of Emancipation of a Minor', 'Page 3 of 3']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf592f8aa77d8f855614c0d957e3d76b4c57d69dca1680c64975d4e017.pdf,"['filers_name', 'filers_address', '*users1_address_line_two', '*users1_phone_number', 'email', 'minors_name', '*docket_number', 'minors_date_birth', 'judge', 'undefined__1', 'undefined__2', 'undefined__3', 'undefined__4', 'apart_since', 'may_revised_august__1', 'guardian_custodian__1', 'guardian_custodian__2', 'guardian_custodian__3', 'guardian_custodian__4', 'guardian_custodian__5', 'guardian_custodian__6', 'undefined__5', 'undefined__6', 'undefined__7', 'undefined__8', 'undefined__9', 'undefined__10', 'undefined__11', 'undefined__12', 'undefined__13', 'case_number_known', '*users1_name__1', 'undefined__14', 'may_revised_august__2', 'signed', '*signature_date', '*users1_signature', '*users1_name__2', 'may_revised_august__3', 'petition_declaration_emancipation', 'page']",UT
Utah Juvenile Court Petition Cover Sheet  ,Emancipation,2.0,20.0,2021-11-11,https://www.utcourts.gov/courts/juv/docs/Juv_Petition_Cover_Sheet.pdf,"['Name', 'Address', 'City State Zip', 'Phone', 'Email', 'Name_2', 'Bar Number', 'Name_3', 'Address_2', 'City State Zip_2', 'Phone_2', 'Email_2', 'Name_4', 'Bar Number_2', 'State Petition no filing fees Case Type    Child Welfare Petition    Termination of Parental Rights    Voluntary Relinquishment    Adoption', 'Revised July 1 2020', 'Juvenile Court Cover Sheet', 'Page 1', 'Child 1 Include information for each child named in the petition', 'Name of child', 'Date of birth', 'If child welfare petition allegation is against', 'Name_5', 'Parent', 'Name of Parent 1 and Address if petition relates to achild', 'Name of Parent 2 and Address if petition relates to achild', 'Childs Attorney Name Bar  andAddress', 'Child 2 Include information for each child named in the petition', 'Name of child_2', 'Date of birth_2', 'If child welfare petition allegation is against_2', 'Name_6', 'Parent_2', 'Name of Parent 1 and Address if petition relates to achild_2', 'Name of Parent 2 and Address if petition relates to achild_2', 'Childs Attorney Name Bar  and Address', 'NameRow1', 'AddressRow1', 'NameRow2', 'AddressRow2', 'NameRow3', 'AddressRow3', 'Revised July 1 2020_2', 'Juvenile Court Cover Sheet_2', 'Page 2']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf5c5d84929c72b6203f945d0efea947fb7a9311ac1c7af7921164093f.pdf,"['*users1_name', '*users1_address_line_one', '*users1_address_line_two', '*users1_phone_number', 'email__1', 'name__1', 'bar_number__1', 'name__2', 'address', 'city_state_zip', 'phone', 'email__2', 'name__3', 'bar_number__2', 'petition_termination_voluntary', 'revised_july__1', 'juvenile_court_cover_sheet__1', 'page__1', 'child_include_information__1', 'name_child__1', '*users1_birthdate', 'welfare_petition_allegation__1', 'name__4', 'parent__1', 'name_parent_address__1', 'name_parent_address__2', 'attorney_name_bar_address__1', 'child_include_information__2', 'name_child__2', 'date_birth', 'welfare_petition_allegation__2', 'name__5', 'parent__2', 'name_parent_address__3', 'name_parent_address__4', 'attorney_name_bar_address__2', 'name_row__1', 'address_row__1', 'name_row__2', 'address_row__2', 'name_row__3', 'address_row__3', 'revised_july__2', 'juvenile_court_cover_sheet__2', 'page__2']",UT
Motion to Terminate Guardianship or Conservatorship ,Ending a Guardianship or Conservatorship,4.0,14.0,2021-11-11,https://www.utcourts.gov/howto/family/gc/docs/05_Motion_Terminate.pdf,"['Name', 'Address', 'City State Zip', 'Phone', 'Email', 'number is', 'a protected person', 'Case Number', 'Judge', '1', '2', '3', '4', 'Signed at', 'Date', 'Signature', 'Printed Name', 'Motion to Terminate', 'Motion to Terminate_2', 'Persons NameRow1', 'Served at this Address    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there', 'Served on this Date    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there', 'Persons NameRow2', 'Served at this Address    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there_2', 'Served on this Date    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there_2', 'Persons NameRow3', 'Served at this Address    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there_3', 'Served on this Date    Mail     Hand Delivery    Efiled    Email Person agreed to service by email     Left at business With person in charge or in receptacle for deliveries     Left at home With person of suitable age and discretion residing there_3', 'Date_2', 'Signature_2', 'Printed Name_2', 'Motion to Terminate_3', 'Approved Board of District Court Judges September 11 2013', 'Page 4 of 4']",https://courtformsonline.org/forms/e12318ce9037e92ee8e48963f550e1a3229a17a2437b9ebc3f29c30b.pdf77f334dc6795b51d976ca176f12c9430a7ef2811fcd4c5d3b528b2fc.pdf,"['*users1_name__1', '*users1_address_line_one', '*users1_address_line_two', '*users1_phone_number', 'email', 'number', 'protected_person', '*docket_number', 'judge', 'unknown__1', 'unknown__2', 'unknown__3', 'unknown__4', 'signed', '*signature_date__1', '*users1_signature__1', '*users1_name__2', 'motion_terminate__1', 'motion_terminate__2', 'persons_name_row__1', 'person_service_charge__1', 'person_service_charge__2', 'persons_name_row__2', 'person_service_charge__3', 'person_service_charge__4', 'persons_name_row__3', 'person_service_charge__5', 'person_service_charge__6', '*signature_date__2', '*users1_signature__2', '*users1_name__3', 'motion_terminate__3', 'district_court_judges', 'page']",UT
